identificador	opening_date	opening_date_new	imagenPositivaNegativaMacri	imagenPositivaNegativaVidal	imagenPositivaNegativaCristina	latLong	latitude	longitude
283	1980	1415	2	2	1	-34.3297006,-58.7810259	-34.3297006	-58.7810259
284	1980	1420	2	2	2	-34.5303092,-58.740776	-34.5303092	-58.740776
285	1980	1425	2	2	1	-34.5835627,-58.5652394	-34.5835627	-58.5652394
286	1980	1430	2	2	2	-34.63062,-58.74456	-34.63062	-58.74456
287	1980	1435	2	2	1	-35.4318109,-60.1812885	-35.4318109	-60.1812885
288	1980	1440	2	2	2	-1.46556997299194,-78.3972091674805	-1.465569973	-78.39720917
289	1980	1445	2	2	1	-34.5709801,-58.5744189	-34.5709801	-58.5744189
290	1980	1450		2	2	-34.5667712,-58.5232055	-34.5667712	-58.5232055
291	1980	1455	1	1	2	-34.6079676,-58.7688817	-34.6079676	-58.7688817
292	1980	1460	2		2	-34.5978148,-58.7551628	-34.5978148	-58.7551628
293	1980	1465	2		2	-34.5017278,-58.5129078	-34.5017278	-58.5129078
294	1980	1470	2			-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
295	1980	1475	2	2	1	-34.651778,-58.7636071	-34.651778	-58.7636071
296	1980	1480	2	2	1	-34.4987465,-58.5840979	-34.4987465	-58.5840979
297	1980	1485	1	1	2	-34.4839409,-58.5675004	-34.4839409	-58.5675004
298	1980	1490	2	2	1	-34.64775,-58.78556	-34.64775	-58.78556
299	1980	1495	2	2	1	-34.6074943,-58.7704389	-34.6074943	-58.7704389
301	1980	1505	2	2	1	-36.7448768615723,-73.1036605834961	-36.74487686	-73.10366058
302	1980	1510	1	1	2	-34.489562,-58.509865	-34.489562	-58.509865
303	1980	1515	2	2	1	-34.65682,-58.76218	-34.65682	-58.76218
304	1980	1520			2	-34.4688796,-58.5381916	-34.4688796	-58.5381916
305	1980	1525	2	2	1	-34.4249113,-58.5880301	-34.4249113	-58.5880301
307	1980	1535	1	1	2	-35.6282987,-59.7656105	-35.6282987	-59.7656105
308	1980	1540	2	2	1	-34.5084686,-58.569217	-34.5084686	-58.569217
310	1980	1550		2	2	-34.43314,-58.58346	-34.43314	-58.58346
311	1980	1555	2	2	2	-34.5008575,-58.6091669	-34.5008575	-58.6091669
312	1981	1560	2	2	1	-38.7515494,-62.1909912	-38.7515494	-62.1909912
313	1981	1565	1	1	2	-35.26602,-59.76758	-35.26602	-59.76758
314	1981	1570	1	1	2	-34.5436908,-58.5573611	-34.5436908	-58.5573611
315	1981	1575	1	1	2	-34.4759492,-58.5266774	-34.4759492	-58.5266774
316	1981	1580	2		1	-34.57278,-58.57194	-34.57278	-58.57194
317	1981	1585	2	2	2	-34.6108743,-58.8126303	-34.6108743	-58.8126303
318	1981	1590	2	2	1	-34.5407581,-58.5593957	-34.5407581	-58.5593957
319	1981	1595	1	1	2	-34.8491746,-58.3763091	-34.8491746	-58.3763091
320	1981	1600	1	1	2	-34.5077138,-58.482327	-34.5077138	-58.482327
321	1981	1605	2	2		-34.6582489013672,-58.7634506225586	-34.6582489	-58.76345062
322	1981	1610	2		1	-34.5378634,-58.4778251	-34.5378634	-58.4778251
323	1981	1615	1	1	2	-34.51677,-58.58342	-34.51677	-58.58342
324	1981	1620	1	1	2	-34.4997924,-58.5439352	-34.4997924	-58.5439352
325	1981	1625	1	1		-34.61919,-58.7282	-34.61919	-58.7282
326	1981	1630	1	1	2	-34.53965,-58.50354	-34.53965	-58.50354
327	1981	1635		1	2	-34.5145806,-58.5302712	-34.5145806	-58.5302712
328	1981	1640		2		-34.4878387451172,-58.4970397949219	-34.48783875	-58.49703979
329	1981	1645	2	1	2	-38.0420375,-57.5503251	-38.0420375	-57.5503251
330	1981	1650	1	1	2	-34.4930625,-58.5531102	-34.4930625	-58.5531102
331	1981	1655	2		2	-34.522,-58.49241	-34.522	-58.49241
332	1981	1660	1	1	2	-34.3824,-58.83143	-34.3824	-58.83143
333	1981	1665	2	2	1	-34.46955,-58.6516	-34.46955	-58.6516
334	1981	1670	1	1	1	-1.66377997398376,-78.6409378051758	-1.663779974	-78.64093781
335	1981	1675	2			-33.0432515,-71.3779294	-33.0432515	-71.3779294
336	1981	1680	1	1	2	-34.5074487,-58.5590985	-34.5074487	-58.5590985
337	1981	1685	2			-33.6907721,-59.6622535	-33.6907721	-59.6622535
338	1981	1690	2	2	1	-34.4821655,-58.6280829	-34.4821655	-58.6280829
339	1981	1695	1	1	2	-34.54137,-58.5643	-34.54137	-58.5643
340	1981	1700	2	2	2	-34.4627048,-58.520331	-34.4627048	-58.520331
341	1981	1705	1	1	2	-34.4530601,-58.5596	-34.4530601	-58.5596
342	1981	1710	1		2	-16.7147235870361,-64.657829284668	-16.71472359	-64.65782928
343	1981	1715	1	1	2	-38.0173259,-57.5545204	-38.0173259	-57.5545204
344	1981	1720		1	2	-34.7043662,-58.8133999	-34.7043662	-58.8133999
345	1981	1725	2	2	1	-34.4875653,-58.5008006	-34.4875653	-58.5008006
346	1981	1730	2	2	2	-34.4990097,-58.5175511	-34.4990097	-58.5175511
348	1981	1740	2		1	-34.3947258,-58.7308149	-34.3947258	-58.7308149
350	1981	1750	2	2	1	-34.4776938,-58.6249103	-34.4776938	-58.6249103
351	1981	1755	2	2	2	-34.5728259,-58.5238332	-34.5728259	-58.5238332
352	1981	1760	1	1	1	-34.4796616,-58.6191089	-34.4796616	-58.6191089
353	1981	1765	1	1	2	-34.565601348877,-58.5439605712891	-34.56560135	-58.54396057
355	1981	1775	2	1	2	-29.17026,-56.64098	-29.17026	-56.64098
356	1981	1780	2	2	1	-34.5059934,-58.5736552	-34.5059934	-58.5736552
357	1981	1785	2	2	1	-34.6369565,-58.5471874	-34.6369565	-58.5471874
359	1981	1795	1	1	2	-34.4772222,-58.5281207	-34.4772222	-58.5281207
360	1981	1800	2			-34.5688647,-58.7625962	-34.5688647	-58.7625962
361	1981	1805	2	2	1	-34.6083658,-58.7881616	-34.6083658	-58.7881616
362	1981	1810	2	2	1	28.09882,-15.47565	28.09882	-15.47565
363	1981	1815	2	2	1	-34.41405,-58.59822	-34.41405	-58.59822
364	1981	1820	2	2		-34.53399,-58.52474	-34.53399	-58.52474
365	1981	1825	2	2	1	-34.60632,-58.7519	-34.60632	-58.7519
366	1981	1830	2		1	36.4472312927246,-5.27300977706909	36.44723129	-5.273009777
368	1981	1840	2	2	1	-34.5246315002441,-58.5462303161621	-34.5246315	-58.54623032
369	1981	1845	2	2	1	-36.8832882,-60.3133603	-36.8832882	-60.3133603
370	1981	1850	2		2	-34.4786720275879,-58.528938293457	-34.47867203	-58.52893829
371	1981	1855	2	2	1	-34.42864,-58.65079	-34.42864	-58.65079
372	1981	1860	2	2	1	-34.3339964,-58.8044391	-34.3339964	-58.8044391
373	1981	1865	2	2	1	-34.4919153,-58.63519	-34.4919153	-58.63519
374	1981	1870	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
375	1981	1875	2	2	1	-34.472077,-58.5158704	-34.472077	-58.5158704
376	1981	1880	2	2	1	9.76622009277344,8.84539985656738	9.766220093	8.845399857
377	1981	1885	2	2		-34.5075887,-58.5006319	-34.5075887	-58.5006319
378	1981	1890	2		1	-34.81654,-58.35518	-34.81654	-58.35518
379	1981	1895	2	2	1	-34.696643,-58.612062	-34.696643	-58.612062
380	1981	1900	2	2		-34.7635953,-58.6407807	-34.7635953	-58.6407807
381	1981	1905	2	2	2	-34.80446,-58.34126	-34.80446	-58.34126
382	1981	1910	2	2	1	-34.8261389,-58.6468355	-34.8261389	-58.6468355
383	1981	1915	2	2	2	-34.69885,-58.42459	-34.69885	-58.42459
385	1981	1925	2	2	1	-34.7709029,-58.6269163	-34.7709029	-58.6269163
